heading,source,content
Samsung Galaxy Z Flip4 Allows You to Capture Life With New Perspectives With FlexCam,"Sponsored Content   | Tuesday October 18, 2022",‍‍‍‍‍‍‍
"T20 World Cup, Sri Lanka vs UAE, Group A Live Highlights: Wanindu Hasaranga, Dushmantha Chameera Shine as SL Defeat UAE By 79 Runs","NDTV Sports Desk   | Tuesday October 18, 2022","T20 World Cup, Sri Lanka vs UAE, Highlights: Three-wicket hauls by Wanindu Hasaranga and Dushmantha Chameera, bundled out UAE at 73, as Sri Lanka registered a 79-run win, in the ongoing T20 World Cup Group A game"
OnePlus 11 Pro Tipped to Launch as OnePlus 11 in Q1 2023: All Details,"Written by Anees Hussain , Edited by David Delima  | Tuesday October 18, 2022","OnePlus' latest flagship which is expected to be launched early next year will reportedly launch as the OnePlus 11 instead of the OnePlus 11 Pro, as earlier predicted by tipsters. Max Jambor and Steve Hemmerstoffer backtracked on their earlier predictions to reveal that the OnePlus 11 model will shed its Pro tag, at least at launch with no confirmation on whether a OnePlus 11 Pro model will feature later in the year."
,,
Flurry Of Funds Bet Big On Bruised Bitcoin's Allure,"Reuters   | Tuesday October 18, 2022","A growing number of funds are betting on the long-term appeal of bitcoin and ether, a gritty gambit in the depths of a crypto winter."
TS ICET Counselling 2022: Round 1 Seat Allotment Result Today At Tsicet.nic.in,"Written by Adarsh Srivastava  | Tuesday October 18, 2022",The Telangana State Council of Higher Education (TSCHE) will release the Telangana State Integrated Common Entrance Test (TS ICET) counselling 2022 round 1 seat allotment today.
"Digital Banking Units Key To Financial Inclusion, Says Shaktikanta Das","Edited by Rahul Karunakar  | Tuesday October 18, 2022","Prime Minister Narendra Modi, on Sunday, dedicated 75 Digital Banking Units (DBUs) to the nation as part of the ""Azadi ka Amrit Mahotsav"""
Skincare: 8 Yoga Asanas To Keep Your Skin Glowing Through The Festive Season,"Manya Singh   | Tuesday October 18, 2022","Yoga:  Yoga can help keep our hormones in check, improve digestion and improve our overall health. All of these factors improve our skin health."
NEET UG 2022 Counselling: Fresh Registration Against Round-1 Ends Today,"Edited by Mridusmita Deka  | Tuesday October 18, 2022","NEET UG Counselling: The NEET UG application for round-1 counselling will close today, October 18 (2 pm). However, the payment for NEET UG 2022 counselling registration will remain open till 4 pm today."
"""You Can't Go By Top Two Or..."": Sachin Tendulkar On Team Strategy In T20 World Cup","NDTV Sports Desk   | Tuesday October 18, 2022","T20 WC: Going into the mega-event, India have a plethora of options to choose from when it comes to right-handed batters. Rohit Sharma, KL Rahul, Virat Kohli, Suryakumar Yadav, Hardik Pandya and Dinesh Karthik may well form the top six."
Suzlon Gets Order To Supply Wind Turbines To Adani Green Energy,"Press Trust of India   | Tuesday October 18, 2022, New Delhi",Suzlon on Tuesday said it has bagged an order to supply 23 wind turbines totalling 48.3 MW from Adani Green Energy.
Sourav Ganguly Arrives For BCCI's Annual General Meeting In Mumbai. See Pics,"Asian News International   | Tuesday October 18, 2022","Sourav Ganguly, the outgoing BCCI president arrived at the Taj Hotel in Mumbai along with Roger Binny and Former IPL Chairman Rajiv Shukla for the Annual General Meeting (AGM) of the BCCI"
Bhediya: Kriti Sanon's First Look As Dr Anika,"Written by Jyothi Jha  | Tuesday October 18, 2022, New Delhi",The film's trailer will release on October 19
